"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Faiz abad";"40904";"";"1964-1983";"";"Mean Value";"hPa";"4.6";"";"5.5";"";"7.3";"";"10.6";"";"12.3";"";"11.3";"";"9.9";"";"8.3";"";"7.2";"";"7.0";"";"6.5";"";"5.4";"";"2.8";"";"8.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Sheberghan";"40908";"";"1964-1983";"";"Mean Value";"hPa";"6.3";"";"6.9";"";"8.9";"";"12.8";"";"12.9";"";"13.6";"";"13.4";"";"12.5";"";"9.9";"";"8.8";"";"7.8";"";"9.9";"";"9.9";"";"10.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Mazar-i-Sharif";"40911";"";"1959-1983";"";"Mean Value";"hPa";"5.9";"";"6.9";"";"8.9";"";"18.5";"";"12.6";"";"11.4";"";"11.8";"";"10.9";"";"8.6";"";"7.6";"";"7.8";"";"6.6";"";"9.2";"";"9.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kunduz";"40913";"";"1958-1983";"";"Mean Value";"hPa";"6.0";"";"6.9";"";"8.5";"";"18.0";"";"12.5";"";"11.5";"";"11.8";"";"10.5";"";"8.5";"";"2.5";"";"7.8";"";"6.6";"";"10.1";"";"9.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Maimana";"40922";"";"1959-1983";"";"Mean Value";"hPa";"5.0";"";"5.7";"";"7.9";"";"11.2";"";"11.6";"";"11.3";"";"11.6";"";"10.0";"";"8.4";"";"7.4";"";"6.4";"";"6.0";"";"8.5";"";"8.5";""
"AFGHANISTAN, ISLAMIC STATE OF";"North Salang";"40930";"";"1960-1983";"";"Mean Value";"hPa";"1.9";"";"2.2";"";"2.9";"";"4.9";"";"5.8";"";"5.8";"";"6.4";"";"6.0";"";"4.8";"";"3.9";"";"2.7";"";"2.1";"";"4.1";"";"4.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jabulsaraj";"40932";"";"1964-1983";"";"Mean Value";"hPa";"3.8";"";"4.2";"";"5.6";"";"7.7";"";"8.7";"";"8.0";"";"9.7";"";"9.4";"";"7.4";"";"6.3";"";"4.7";"";"4.2";"";"6.6";"";"6.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Qalai naw";"40937";"";"1970-1983";"";"Mean Value";"hPa";"5.1";"";"5.8";"";"8.0";"";"11.5";"";"12.1";"";"12.6";"";"14.4";"";"12.2";"";"9.9";"";"8.2";"";"6.4";"";"5.9";"";"9.3";"";"9.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Herat";"40938";"";"1958-1983";"";"Mean Value";"hPa";"5.2";"";"5.8";"";"7.7";"";"9.9";"";"10.8";"";"11.7";"";"12.8";"";"11.1";"";"9.0";"";"7.6";"";"5.7";"";"5.4";"";"8.8";"";"8.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Chakhcharan";"40942";"";"1968-1983";"";"Mean Value";"hPa";"2.6";"";"2.8";"";"4.6";"";"6.0";"";"6.6";"";"7.0";"";"7.0";"";"6.2";"";"4.5";"";"4.2";"";"3.7";"";"2.9";"";"4.6";"";"4.8";""
