"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Faiz abad";"40904";"";"1964-1983";"";"Mean Value";"deg C";"6.0";"";"8.2";"";"14.3";"";"21.3";"";"25.1";"";"31.6";"";"35.7";"";"34.9";"";"29.9";"";"23.1";"";"15.9";"";"9.7";"";"21.6";"";"21.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Sheberghan";"40908";"";"1964-1983";"";"Mean Value";"deg C";"6.8";"";"9.3";"";"15.8";"";"23.7";"";"31.1";"";"36.9";"";"38.9";"";"37.2";"";"32.0";"";"24.0";"";"16.7";"";"10.6";"";"23.7";"";"23.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Mazar-i-Sharif";"40911";"";"1959-1983";"";"Mean Value";"deg C";"8.0";"";"10.7";"";"16.3";"";"24.3";"";"31.2";"";"37.0";"";"38.9";"";"36.9";"";"31.9";"";"24.7";"";"16.4";"";"10.8";"";"23.8";"";"23.9";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kunduz";"40913";"";"1958-1983";"";"Mean Value";"deg C";"6.3";"";"9.5";"";"15.8";"";"23.0";"";"29.8";"";"37.3";"";"39.0";"";"36.9";"";"31.8";"";"24.5";"";"16.0";"";"9.7";"";"23.5";"";"23.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Maimana";"40922";"";"1959-1983";"";"Mean Value";"deg C";"7.4";"";"9.2";"";"14.0";"";"20.8";"";"27.1";"";"33.7";"";"35.9";"";"33.9";"";"28.9";"";"22.2";"";"15.5";"";"10.6";"";"21.5";"";"21.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"North Salang";"40930";"";"1960-1983";"";"Mean Value";"deg C";"-6.6";"";"-5.3";"";"-1.1";"";"3.8";"";"7.2";"";"12.2";"";"14.3";"";"13.5";"";"9.6";"";"5.4";"";"0.2";"";"-4.2";"";"4.2";"";"4.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jabulsaraj";"40932";"";"1961-1983";"";"Mean Value";"deg C";"5.5";"";"6.2";"";"13.2";"";"19.6";"";"24.4";"";"29.5";"";"31.7";"";"31.0";"";"27.6";"";"23.0";"";"15.5";"";"8.9";"";"19.9";"";"19.7";""
"AFGHANISTAN, ISLAMIC STATE OF";"Qalai naw";"40937";"";"1970-1983";"";"Mean Value";"deg C";"6.3";"";"7.4";"";"14.9";"";"21.9";"";"29.0";"";"33.7";"";"35.8";"";"33.5";"";"29.0";"";"23.0";"";"16.7";"";"10.2";"";"22.6";"";"21.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Herat";"40938";"";"1958-1983";"";"Mean Value";"deg C";"9.1";"";"11.9";"";"17.9";"";"24.0";"";"29.6";"";"35.0";"";"36.7";"";"35.1";"";"31.4";"";"25.0";"";"17.8";"";"12.0";"";"23.8";"";"23.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Chakhcharan";"40942";"";"1968-1983";"";"Mean Value";"deg C";"-1.3";"";"0.0";"";"8.8";"";"17.4";"";"21.8";"";"27.3";"";"29.8";"";"28.8";"";"24.7";"";"17.9";"";"11.4";"";"3.2";"";"14.5";"";"15.8";""
