"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Faiz abad";"40904";"";"1964-1983";"";"Mean Value";"m/sec";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"2.0";"";"2.0";"";"2.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Sheberghan";"40908";"";"1964-1983";"";"Mean Value";"m/sec";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"2.0";"";"3.0";"";"3.0";"";"2.9";""
"AFGHANISTAN, ISLAMIC STATE OF";"Mazar-i-Sharif";"40911";"";"1959-1983";"";"Mean Value";"m/sec";"3.0";"";"3.0";"";"4.0";"";"3.0";"";"3.0";"";"4.0";"";"4.0";"";"4.0";"";"3.0";"";"3.0";"";"2.0";"";"2.0";"";"3.0";"";"3.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kunduz";"40913";"";"1958-1983";"";"Mean Value";"m/sec";"2.0";"";"2.0";"";"2.0";"";"2.0";"";"2.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"2.0";"";"2.0";"";"2.0";"";"2.4";""
"AFGHANISTAN, ISLAMIC STATE OF";"Maimana";"40922";"";"1959-1983";"";"Mean Value";"m/sec";"2.0";"";"2.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"3.0";"";"2.0";"";"2.0";"";"2.0";"";"3.0";"";"2.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"North Salang";"40930";"";"1960-1983";"";"Mean Value";"m/sec";"4.0";"";"4.0";"";"3.0";"";"3.0";"";"2.0";"";"3.0";"";"3.0";"";"3.0";"";"2.0";"";"2.0";"";"2.0";"";"3.0";"";"3.0";"";"2.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jabulsaraj";"40932";"";"1961-1983";"";"Mean Value";"m/sec";"2.0";"";"2.0";"";"3.0";"";"3.0";"";"4.0";"";"6.0";"";"7.0";"";"6.0";"";"5.0";"";"3.0";"";"2.0";"";"2.0";"";"4.0";"";"3.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Qalai naw";"40937";"";"1970-1983";"";"Mean Value";"m/sec";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"2.0";"";"2.0";"";"2.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"1.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Herat";"40938";"";"1958-1983";"";"Mean Value";"m/sec";"3.0";"";"3.0";"";"4.0";"";"3.0";"";"4.0";"";"4.0";"";"6.0";"";"6.0";"";"4.0";"";"3.0";"";"3.0";"";"3.0";"";"4.0";"";"3.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Chakhcharan";"40942";"";"1968-1983";"";"Mean Value";"m/sec";"1.0";"";"1.0";"";"2.0";"";"2.0";"";"2.0";"";"2.0";"";"2.0";"";"2.0";"";"1.0";"";"1.0";"";"1.0";"";"1.0";"";"2.0";"";"1.5";""
