"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"UNITED STATES OF AMERICA";"NOME, AK";"70200";"00506496";"1961-1990";"";"Percent of Possible";"*";"37.0";"";"59.0";"";"56.0";"";"54.0";"";"50.0";"";"43.0";"";"41.0";"";"35.0";"";"39.0";"";"39.0";"";"35.0";"";"41.0";"";"45.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"ANCHORAGE/INTL, AK";"70273";"00500280";"1961-1990";"";"Percent of Possible";"*";"41.0";"";"48.0";"";"53.0";"";"53.0";"";"53.0";"";"48.0";"";"44.0";"";"42.0";"";"41.0";"";"38.0";"";"37.0";"";"30.0";"";"46.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"JUNEAU, AK";"70381";"00504100";"1961-1987";"";"Percent of Possible";"*";"36.0";"";"34.0";"";"37.0";"";"42.0";"";"44.0";"";"35.0";"";"34.0";"";"34.0";"";"28.0";"";"21.0";"";"25.0";"";"20.0";"";"34.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"BIRMINGHAM/WSFO AL";"72000";"00010829";"1961-1989";"";"Percent of Possible";"*";"47.0";"";"52.0";"";"59.0";"";"63.0";"";"66.0";"";"65.0";"";"60.0";"";"63.0";"";"60.0";"";"66.0";"";"53.0";"";"50.0";"";"59.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"FLAGSTAFF/PULLIAM AP, AZ";"72000";"00023010";"1973-1990";"";"Percent of Possible";"*";"74.0";"";"75.0";"";"77.0";"";"82.0";"";"85.0";"";"86.0";"";"73.0";"";"75.0";"";"80.0";"";"81.0";"";"74.0";"";"72.0";"";"78.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"LOS ANGELES/WBO CA";"72000";"00045115";"1961-1977";"";"Percent of Possible";"*";"71.0";"";"72.0";"";"72.0";"";"78.0";"";"64.0";"";"64.0";"";"83.0";"";"84.0";"";"75.0";"";"73.0";"";"70.0";"";"71.0";"";"73.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"SAN FRANCISCO/MISSION DOLORES,CA";"72000";"00047772";"1961-1974";"";"Percent of Possible";"*";"61.0";"";"69.0";"";"73.0";"";"78.0";"";"74.0";"";"70.0";"";"70.0";"";"68.0";"";"73.0";"";"71.0";"";"57.0";"";"54.0";"";"69.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"LAKELAND FL";"72000";"00084797";"1961-1978";"";"Percent of Possible";"*";"62.0";"";"67.0";"";"69.0";"";"78.0";"";"73.0";"";"61.0";"";"60.0";"";"61.0";"";"61.0";"";"67.0";"";"66.0";"";"63.0";"";"66.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"CAIRO/WSO CITY IL";"72000";"00111166";"1961-1987";"";"Percent of Possible";"*";"47.0";"";"50.0";"";"53.0";"";"60.0";"";"63.0";"";"70.0";"";"71.0";"";"72.0";"";"65.0";"";"62.0";"";"46.0";"";"42.0";"";"60.0";"";"-9999.9";"1"
"UNITED STATES OF AMERICA";"TRENTON/WSO CITY NJ";"72000";"00288883";"1961-1981";"";"Percent of Possible";"*";"54.0";"";"57.0";"";"56.0";"";"57.0";"";"56.0";"";"58.0";"";"59.0";"";"59.0";"";"57.0";"";"58.0";"";"50.0";"";"48.0";"";"56.0";"";"-9999.9";"1"
