"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"UNITED STATES OF AMERICA";"BARROW/W. POST W. ROGERS, AK";"70026";"00500546";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"5.4";"";"4.7";"";"4.9";"";"5.1";"";"5.3";"";"5.1";"";"5.1";"";"5.4";"";"5.9";"";"5.7";"";"5.7";"";"4.9";"";"5.3";"";"5.3";""
"UNITED STATES OF AMERICA";"KOTZEBUE/RALPH WIEN, AK";"70133";"00505076";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"6.5";"";"5.6";"";"5.4";"";"5.5";"";"5.1";"";"5.6";"";"5.8";"";"5.9";"";"6.1";"";"6.2";"";"6.7";"";"6.0";"";"5.9";"";"5.9";""
"UNITED STATES OF AMERICA";"BETTLES/FIELD AK";"70174";"00500761";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"2.6";"";"2.9";"";"3.4";"";"3.7";"";"3.7";"";"3.4";"";"3.1";"";"2.9";"";"3.1";"";"3.1";"";"2.8";"";"2.6";"";"3.1";"";"3.1";""
"UNITED STATES OF AMERICA";"NOME, AK";"70200";"00506496";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"5.3";"";"4.8";"";"4.7";"";"4.8";"";"4.6";"";"4.6";"";"4.7";"";"4.9";"";"5.1";"";"5.0";"";"5.4";"";"4.9";"";"4.9";"";"4.9";""
"UNITED STATES OF AMERICA";"BETHEL/BETHEL AIRPORT, AK";"70219";"00500754";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"6.5";"";"6.9";"";"6.4";"";"6.0";"";"5.4";"";"5.3";"";"5.0";"";"5.0";"";"5.4";"";"5.8";"";"6.1";"";"6.4";"";"5.9";"";"5.8";""
"UNITED STATES OF AMERICA";"MC GRATH/ARPT AK";"70231";"00505769";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"1.4";"";"2.1";"";"2.6";"";"3.2";"";"3.2";"";"3.0";"";"2.9";"";"2.8";"";"2.8";"";"2.7";"";"1.9";"";"1.5";"";"2.5";"";"2.5";""
"UNITED STATES OF AMERICA";"TALKEETNA, AK";"70251";"00508976";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"2.9";"";"2.8";"";"2.6";"";"2.4";"";"2.4";"";"2.4";"";"2.1";"";"1.9";"";"1.8";"";"2.0";"";"2.7";"";"2.8";"";"2.4";"";"2.4";""
"UNITED STATES OF AMERICA";"FAIRBANKS/INTL, AK";"70261";"00502968";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"1.4";"";"1.9";"";"2.5";"";"3.1";"";"3.6";"";"3.4";"";"3.1";"";"2.9";"";"2.8";"";"2.5";"";"1.8";"";"1.5";"";"2.5";"";"2.5";""
"UNITED STATES OF AMERICA";"BIG DELTA/ALLEN AAF AK";"70267";"00500770";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"5.2";"";"5.0";"";"4.6";"";"4.3";"";"4.4";"";"3.8";"";"3.4";"";"3.6";"";"4.2";"";"4.2";"";"4.9";"";"5.2";"";"4.4";"";"4.4";""
"UNITED STATES OF AMERICA";"GULKANA/INTERMEDIATE FIELD AK";"70271";"00503465";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"2.1";"";"2.5";"";"3.6";"";"4.1";"";"4.3";"";"4.3";"";"3.9";"";"4.0";"";"3.7";"";"3.2";"";"2.3";"";"2.2";"";"3.4";"";"3.3";""
"UNITED STATES OF AMERICA";"ANCHORAGE/INTL, AK";"70273";"00500280";"1961-1990";"";"Mean of 3-Hourly Observations";"m/sec";"3.0";"";"3.2";"";"3.2";"";"3.5";"";"3.9";"";"4.0";"";"3.4";"";"3.3";"";"3.2";"";"3.2";"";"3.0";"";"2.9";"";"3.3";"";"3.3";""
